開催回,開催日,第1数字,第2数字,第3数字,第4数字,第5数字,ボーナス数字,1等口数,1等賞金,2等口数,2等賞金,3等口数,3等賞金,4等口数,4等賞金
316,2005-08-09,24,25,28,29,30,27,15,17697300,75,254200,1866,17700,60187,1400
317,2005-08-16,8,10,11,22,23,12,54,4698000,218,83600,4241,7400,93759,800
318,2005-08-23,9,18,19,30,31,16,35,7963800,103,194400,3401,10200,77015,1100
319,2005-08-30,3,20,21,22,27,9,12,23277200,142,141300,2882,12000,88416,1000
320,2005-09-06,6,7,13,28,30,12,20,13491900,212,91400,2943,11400,84228,1000
321,2005-09-13,2,11,18,21,27,15,20,14100400,108,187500,3465,10100,92547,900
322,2005-09-20,5,8,10,28,31,2,14,19488700,104,188400,2871,11800,84432,1000
323,2005-09-27,5,15,19,22,27,29,26,10959800,106,193100,3809,9300,91988,1000
324,2005-10-04,5,6,13,29,30,17,37,7569100,198,101600,3391,10200,89475,1000
325,2005-10-11,8,11,13,15,28,22,29,9407400,235,83400,4247,7900,108127,800
326,2005-10-18,1,3,6,11,25,12,20,14347500,179,115100,3082,11500,86206,1000
327,2005-10-25,8,14,19,25,28,16,43,6951700,258,83200,4874,7600,105793,900
328,2005-11-01,1,2,11,12,18,8,18,16572100,166,129000,3599,10300,96204,1000
329,2005-11-08,5,14,15,17,29,10,19,15262900,109,191100,3876,9300,103197,900
330,2005-11-15,3,13,15,19,24,8,23,12588200,204,101900,3169,11300,94856,900
331,2005-11-22,6,19,21,29,30,24,14,21391600,69,311800,2614,14200,80065,1200
332,2005-11-29,4,9,24,28,29,25,22,13705300,85,254800,3866,9700,96420,1000
333,2005-12-06,19,21,22,26,28,24,17,17382100,78,272100,2290,16000,76342,1200
334,2005-12-13,7,12,22,23,25,13,30,9879000,272,78200,3718,9900,105737,900
335,2005-12-20,14,16,23,25,31,22,28,10782300,111,195400,3348,11200,91230,1000
336,2005-12-27,10,14,20,27,28,8,22,13641500,235,91700,3605,10300,96181,1000
337,2006-01-10,4,7,21,22,23,15,19,16779400,174,131600,3146,12600,94214,1100
338,2006-01-17,1,3,19,21,27,9,39,8056100,122,185000,3226,12100,89640,1100
339,2006-01-24,4,9,11,15,23,26,44,7020700,204,108700,4688,8200,113114,800
340,2006-01-31,10,14,18,23,25,31,40,7826500,148,151900,3810,10200,102960,900
341,2006-02-07,2,5,17,18,26,3,61,5053900,166,133400,5197,7300,110429,900
342,2006-02-14,2,15,24,25,27,9,14,21474500,148,145900,2827,13200,89977,1000
343,2006-02-21,6,10,15,27,30,8,27,11290300,127,172400,3744,10100,94391,1000
344,2006-02-28,4,9,13,21,23,31,27,11398900,177,124900,5114,7400,110610,900
345,2006-03-07,7,14,16,17,29,18,58,5438800,120,188800,4710,8300,117486,800
346,2006-03-14,4,14,18,26,31,3,29,10435700,147,147900,3557,10500,96618,1000
347,2006-03-21,10,11,20,23,27,13,27,10160100,144,136800,3433,9900,92435,900
348,2006-03-28,8,9,11,12,18,23,19,15486000,150,140900,3641,10000,104632,900
349,2006-04-04,3,5,6,7,12,18,29,10284200,142,150800,3717,9900,100726,900
350,2006-04-11,3,9,22,24,28,27,11,26748600,97,217900,3502,10400,92415,1000
351,2006-04-18,3,6,11,12,27,26,73,4300700,221,102000,6299,6200,131909,700
352,2006-04-25,5,7,14,17,30,29,24,12929600,221,100800,3643,10600,104583,900
353,2006-05-02,3,13,14,17,25,18,34,8934700,148,147400,4728,7900,111666,800
354,2006-05-09,3,6,17,19,30,1,44,6864700,114,190300,3751,10000,97105,1000
355,2006-05-16,8,9,24,27,29,31,22,13593200,72,298300,2997,12400,94136,1000
356,2006-05-23,6,11,17,19,22,21,40,7321000,134,157000,4408,8200,110216,800
357,2006-05-30,15,24,26,28,29,16,12,24816400,90,237700,2299,16100,80797,1200
358,2006-06-06,4,13,18,27,31,23,41,7113700,175,119700,4431,8100,103083,900
359,2006-06-13,3,11,15,18,19,22,16,17876000,179,114700,3656,9700,105524,800
360,2006-06-20,6,11,20,27,28,5,48,6193700,201,106200,4709,7800,111447,800
361,2006-06-27,2,4,6,12,30,5,19,15696000,88,243400,3173,11700,89734,1000
362,2006-07-04,4,17,19,20,31,7,21,13895100,143,146500,2409,15000,75721,1200
363,2006-07-11,4,10,12,17,22,16,23,12695200,102,205600,3373,10700,92276,1000
364,2006-07-18,5,9,13,20,23,18,24,11358800,222,88200,3216,10500,86065,1000
365,2006-07-25,6,10,18,27,28,14,23,12403200,196,104500,3676,9600,103329,800
366,2006-08-01,2,11,14,19,30,3,27,10595200,182,112900,3536,10000,99703,900
367,2006-08-08,4,6,14,19,31,9,26,10518900,139,141300,3582,9500,93456,900
368,2006-08-15,1,8,17,28,29,6,13,19395700,107,169200,2815,11100,82089,1000
369,2006-08-22,4,10,23,29,30,31,25,11460000,82,251000,2852,12500,82520,1100
370,2006-08-29,10,12,16,26,28,21,21,13767300,120,173000,2886,12400,83307,1100
371,2006-09-05,10,12,19,23,31,27,21,13957500,126,167100,2907,12500,85265,1100
372,2006-09-12,1,5,22,25,30,12,33,9003400,140,152400,2729,13500,78301,1200
373,2006-09-19,3,5,11,12,29,22,61,4622100,189,107100,5172,6700,118360,700
374,2006-09-26,9,17,27,28,29,8,16,18225500,180,116300,3492,10300,103774,900
375,2006-10-03,1,10,20,23,24,16,12,24528700,88,240200,2221,16500,70443,1300
376,2006-10-10,7,13,21,25,28,2,39,7255400,245,82900,4383,8000,95834,900
377,2006-10-17,1,12,20,21,30,6,19,15665600,129,165700,2672,13800,74940,1200
378,2006-10-24,6,8,15,21,24,5,27,11045400,94,227900,3322,11100,87663,1100
379,2006-10-31,2,8,15,19,28,26,45,6749400,185,117900,4645,8100,102008,900
380,2006-11-07,2,11,12,17,31,15,19,15582900,107,198700,4102,8900,106851,900
381,2006-11-14,3,9,19,22,23,21,41,7117200,141,148600,4165,8700,101921,900
382,2006-11-21,7,9,11,14,23,19,29,9962100,148,140200,3745,9600,100421,900
383,2006-11-28,4,7,9,17,31,12,22,13011400,146,140800,3476,10200,95871,900
384,2006-12-05,4,9,15,25,29,5,29,9995400,147,141600,3929,9100,96846,900
385,2006-12-12,6,14,20,24,27,3,32,9087000,141,148100,3361,10700,86712,1000
386,2006-12-19,1,3,5,7,23,14,23,12837200,117,181200,3883,9400,99801,900
387,2006-12-26,16,26,28,29,30,11,9,32280800,92,226800,2695,13400,79495,1100
388,2007-01-09,4,8,19,27,31,11,57,5506300,272,82800,5046,7700,118243,800
389,2007-01-16,8,11,13,27,30,6,23,13113900,154,140700,4162,9000,101356,900
390,2007-01-23,11,14,23,29,30,20,37,8111500,106,203400,4250,8700,111144,800
391,2007-01-30,1,10,15,30,31,21,181,1700400,373,59200,5421,7000,98234,1000
392,2007-02-06,3,13,15,25,30,26,45,6713500,125,173600,4166,9000,101465,900
393,2007-02-13,15,17,18,22,30,11,12,23982100,114,181300,2437,14700,78026,1200
394,2007-02-20,2,5,21,27,31,25,15,19882600,91,235400,3110,11900,93643,1000
395,2007-02-27,6,21,22,23,31,3,13,23188300,109,198600,2292,16300,75444,1300
396,2007-03-06,1,6,21,25,28,22,22,13574700,63,340500,2924,12700,83593,1100
397,2007-03-13,1,14,17,24,25,29,21,13927300,90,233400,2609,13900,76901,1200
398,2007-03-20,10,17,25,27,31,26,18,16163900,88,237500,3114,11600,90575,1000
399,2007-03-27,7,13,23,27,31,8,43,6834500,133,158700,4772,7600,111052,800
400,2007-04-03,12,20,22,24,25,26,13,22289300,55,378400,2003,18000,68373,1300
401,2007-04-10,11,13,18,26,30,6,28,10472300,232,90800,3870,9400,98980,900
402,2007-04-17,10,20,22,24,27,8,15,19449900,134,156400,2377,15200,74458,1200
403,2007-04-24,2,5,16,30,31,18,22,13626500,110,195700,3070,12100,88847,1000
404,2007-05-01,1,8,11,26,28,24,27,10487200,111,183200,3364,10400,89486,1000
405,2007-05-08,8,9,13,27,31,17,39,7464000,204,102500,4924,7300,108386,800
406,2007-05-15,5,13,19,28,29,1,18,15817700,143,143000,3866,9100,95781,900
407,2007-05-22,5,15,21,22,31,10,35,8208300,206,100100,3448,10300,92402,1000
408,2007-05-29,7,12,22,26,30,4,28,10254800,177,116500,3798,9400,91273,1000
409,2007-06-05,2,11,19,27,28,5,48,5964500,232,88600,4419,8000,108455,800
410,2007-06-12,3,10,19,20,31,15,29,9616900,108,185500,3385,10200,89715,1000
411,2007-06-19,5,8,12,19,22,11,25,11525700,151,137000,3804,9400,98987,900
412,2007-06-26,1,5,6,9,23,16,29,10053800,128,163600,3436,10500,96890,900
413,2007-07-03,8,14,21,23,29,17,31,9352800,261,79800,3511,10200,91386,1000
414,2007-07-10,5,7,10,20,27,21,39,7427000,157,132500,3958,9100,101014,900
415,2007-07-17,11,16,24,28,30,22,29,9426000,124,158300,4127,8200,100656,800
416,2007-07-24,4,6,13,15,22,7,29,9507700,112,176800,4109,8300,92441,900
417,2007-07-31,3,9,12,23,24,22,56,4877300,158,124100,4782,7100,108716,800
418,2007-08-07,13,16,22,27,30,4,20,13243300,159,119600,3203,10200,83704,1000
419,2007-08-14,5,12,19,20,27,28,32,7233400,161,103200,3767,7600,82336,900
420,2007-08-21,2,10,13,23,27,18,25,10759400,134,144200,3133,10600,84853,1000
421,2007-08-28,11,14,24,28,29,16,35,7976900,128,156700,4895,7100,101814,800
422,2007-09-04,10,12,15,21,27,24,33,8499800,132,152600,4149,8400,101347,900
423,2007-09-11,8,14,16,24,31,7,31,8997100,142,141100,3649,9500,86741,1000
424,2007-09-18,3,4,8,11,31,24,20,13291200,159,120100,3186,10300,88833,900
425,2007-09-25,4,10,20,25,28,6,20,13182300,119,159100,3065,10700,80904,1000
426,2007-10-02,3,15,17,21,26,29,37,7361900,152,128700,3227,10500,84890,1000
427,2007-10-09,9,14,19,20,26,16,15,17486800,71,265400,2525,12900,69032,1200
428,2007-10-16,11,20,24,27,29,21,13,21067400,77,255500,2806,12100,86305,1000
429,2007-10-23,11,18,22,26,30,20,32,8673200,68,293200,4156,8300,97242,900
430,2007-10-30,3,7,16,18,21,27,28,9918400,190,105000,3370,10200,87078,1000
431,2007-11-06,3,12,14,24,25,2,16,17285700,125,158900,3265,10500,86825,1000
432,2007-11-13,3,9,14,22,25,12,32,9019000,149,139100,4056,8800,96977,900
433,2007-11-20,1,12,17,20,27,14,16,17932700,74,278500,2865,12400,82590,1100
434,2007-11-27,1,6,10,11,22,18,34,8373300,142,144000,3614,9800,94079,900
435,2007-12-04,8,19,22,25,27,6,27,10316600,130,153900,3550,9700,94193,900
436,2007-12-11,7,8,18,21,24,17,20,14262800,109,188000,4162,8500,94018,900
437,2007-12-18,9,13,15,28,31,12,38,7646100,115,181500,6060,5900,102410,900
438,2007-12-25,1,2,10,13,21,16,13,22084600,79,261000,2365,15100,73725,1200
439,2008-01-08,10,17,19,21,23,16,18,17363100,107,209800,3157,12300,90544,1100
440,2008-01-15,5,12,13,21,30,28,21,13697700,125,165300,3341,10700,90854,1000
441,2008-01-22,6,8,19,28,30,17,31,9683200,198,108900,3407,10900,92829,1000
442,2008-01-29,5,8,19,24,30,17,34,8628100,229,92000,4098,8900,99286,900
443,2008-02-05,5,17,22,23,30,20,32,9298700,101,211600,4282,8600,99559,900
444,2008-02-12,1,11,17,30,31,13,24,11837600,143,142700,3939,8900,91229,1000
445,2008-02-19,7,16,18,26,31,25,23,12924500,151,141400,3065,12000,83856,1100
446,2008-02-26,10,11,15,16,17,4,21,14040800,99,213900,2680,13600,82504,1100
447,2008-03-04,14,17,20,25,26,8,16,18466200,180,117900,2949,12400,90016,1000
448,2008-03-11,1,7,12,17,18,25,18,16289500,167,126100,3610,10100,89969,1000
449,2008-03-18,7,8,10,11,20,12,18,16030900,188,110200,3612,9900,96378,900
450,2008-03-25,2,5,8,13,27,26,51,5673200,201,103400,4554,7900,107543,800
451,2008-04-01,3,7,12,14,16,31,22,12884000,99,205600,4409,8000,100186,900
452,2008-04-08,2,12,16,18,30,20,30,9295300,104,192600,3099,11200,86317,1000
453,2008-04-15,4,7,12,17,27,24,38,7712800,235,89500,5104,7100,119382,700
454,2008-04-22,2,5,13,20,24,12,12,24042600,156,132800,3407,10500,86942,1000
455,2008-04-29,1,10,16,24,26,9,10,27112800,118,165000,2449,13700,69454,1200
456,2008-05-06,6,8,10,16,20,2,15,17152700,116,159300,2773,11500,77033,1000
457,2008-05-13,2,16,17,22,28,11,33,8608300,291,70100,3533,10000,93435,900
458,2008-05-20,6,8,15,24,31,1,28,9702900,112,174200,3311,10200,83117,1000
459,2008-05-27,12,13,26,27,29,2,26,10455700,122,160000,3258,10300,85406,1000
460,2008-06-03,10,11,25,27,30,4,38,6997400,202,94500,4972,6600,106401,800
461,2008-06-10,6,12,17,20,26,11,32,8331400,170,112600,3758,8800,93065,900
462,2008-06-17,4,19,22,25,29,27,19,14402600,86,228500,2876,11800,79271,1100
463,2008-06-24,12,13,16,21,23,18,11,25274900,116,172100,2563,13500,81103,1100
464,2008-07-01,1,12,16,22,28,15,27,10738700,101,206200,3205,11200,89965,1000
465,2008-07-08,13,18,21,25,28,7,21,13657600,293,70300,3435,10300,89524,1000
466,2008-07-15,15,16,19,20,29,17,11,25579600,85,237800,2304,15200,73624,1200
467,2008-07-22,1,2,13,15,23,26,16,16572400,73,260900,2292,14400,69396,1200
468,2008-07-29,7,8,13,24,27,10,30,9085900,176,111200,4232,8000,108146,800
469,2008-08-05,5,9,12,16,19,3,29,9266400,137,140900,3194,10400,91883,900
470,2008-08-12,11,15,22,30,31,14,21,12129800,191,95800,3511,9000,91576,900
471,2008-08-19,13,17,20,23,30,28,22,12285600,138,140700,3454,9700,91379,900
472,2008-08-26,4,15,17,20,21,3,26,10729000,111,180500,2687,12900,77481,1100
473,2008-09-02,4,5,18,20,26,3,16,17757900,109,187200,2822,12500,78266,1100
474,2008-09-09,5,12,14,18,23,11,30,9378600,140,144300,4934,7000,98745,900
475,2008-09-16,8,9,12,14,24,30,22,12376100,120,163000,3223,10500,92052,900
476,2008-09-23,3,10,12,20,24,13,23,11358800,133,141100,3404,9500,90405,900
477,2008-09-30,1,4,13,20,28,31,21,13131200,80,247600,2723,12600,78780,1100
478,2008-10-07,3,17,18,22,25,5,27,10239100,203,97800,3707,9200,90587,900
479,2008-10-14,14,22,26,27,29,21,18,14378900,103,180500,2673,12000,78762,1000
480,2008-10-21,5,7,18,25,31,23,21,13275900,124,161500,3220,10700,87108,1000
481,2008-10-28,3,7,13,16,25,31,51,5612900,167,123100,5053,7000,102993,900
482,2008-11-04,2,16,20,24,29,5,34,8166600,153,130300,3539,9700,87946,1000
483,2008-11-11,7,20,23,27,29,25,12,23315500,90,223300,2697,12900,81404,1100
484,2008-11-18,1,3,4,19,29,27,13,21265800,68,292000,2165,15800,69403,1200
485,2008-11-25,3,8,10,15,31,18,31,8512600,127,149200,3194,10200,86760,900
486,2008-12-02,5,8,20,22,26,19,25,11159700,152,131800,3264,10600,88681,1000
487,2008-12-09,15,17,20,22,29,16,16,17092600,105,187100,2845,11900,80445,1100
488,2008-12-16,10,15,17,23,29,24,31,9466600,134,157300,4056,9000,101621,900
489,2008-12-23,2,4,9,22,31,17,13,21203900,136,145600,2606,13100,78027,1100
490,2008-12-30,7,9,13,21,24,11,28,9666600,128,151900,3150,10600,85419,1000
491,2009-01-06,8,10,16,20,23,6,23,10755800,268,66300,3775,8100,89732,800
492,2009-01-13,3,8,9,11,20,18,19,14770700,116,173800,3842,9000,106956,800
493,2009-01-20,1,11,12,13,17,26,23,12787900,107,197400,2809,13000,93201,1000
494,2009-01-27,2,10,14,26,28,18,36,8253400,316,67500,3589,10300,90634,1000
495,2009-02-03,7,10,22,26,27,5,27,10939800,149,142400,3157,11600,91842,1000
496,2009-02-10,4,10,11,22,30,9,60,4948400,153,139400,4627,7900,111207,800
497,2009-02-17,4,21,23,27,28,26,14,21028600,56,377600,2564,14200,80736,1100
498,2009-02-24,2,15,20,23,30,3,30,9594700,167,123800,3244,11000,85123,1100
499,2009-03-03,2,8,14,15,26,31,33,8790300,192,108500,4528,7900,96203,900
500,2009-03-10,19,20,23,25,28,5,14,20356900,119,172000,2316,15300,73091,1200
501,2009-03-17,12,13,16,17,21,22,29,9696300,120,168300,3726,9300,89757,1000
502,2009-03-24,2,3,5,13,14,1,16,16905100,97,200300,2790,12000,84160,1000
503,2009-03-31,11,18,21,23,27,3,18,15702900,192,105700,3415,10300,94234,900
504,2009-04-07,8,10,24,28,31,9,21,13107100,87,227200,3219,10600,88962,1000
505,2009-04-14,5,16,19,20,22,28,17,15883300,134,144700,3081,10900,87259,1000
506,2009-04-21,4,14,15,23,24,11,41,6767000,125,159400,4000,8600,93531,900
507,2009-04-28,10,19,26,27,28,2,17,16647600,126,161300,2946,11900,86447,1000
508,2009-05-05,3,6,9,14,25,1,42,5761800,112,155200,3881,7700,87665,800
509,2009-05-12,2,13,22,29,30,8,31,8883300,192,103000,3470,9800,92911,900
510,2009-05-19,18,19,21,23,30,25,16,16677000,77,248900,2597,12700,75608,1100
511,2009-05-26,13,16,26,28,31,11,24,11253600,121,160300,3024,11100,84793,1000
512,2009-06-02,8,14,25,29,30,7,34,7883000,122,157800,3468,9600,88026,900
513,2009-06-09,3,11,18,19,25,8,27,9648100,200,93500,3623,8900,90311,900
514,2009-06-16,15,16,21,25,30,14,19,14179700,101,191600,2707,12300,77201,1100
515,2009-06-23,5,21,24,25,26,31,19,14286000,105,185700,2201,15300,73385,1200
516,2009-06-30,3,12,14,15,26,5,35,7943400,132,151300,4069,8500,96117,900
517,2009-07-07,12,26,28,29,30,5,14,19710700,111,178600,2816,12200,83844,1000
518,2009-07-14,11,16,18,20,27,23,26,10316600,160,120400,3399,9800,92280,900
519,2009-07-21,2,9,25,29,31,4,15,16888000,97,187600,2383,13200,69047,1100
520,2009-07-28,2,3,11,14,30,8,17,15451100,135,139700,2996,10900,89410,900
521,2009-08-04,4,9,14,25,26,15,27,9662800,200,93700,3550,9100,90283,900
522,2009-08-11,4,19,22,23,27,31,26,9522600,91,195400,3219,9500,81376,900
523,2009-08-18,8,17,18,19,24,10,28,9389500,125,151100,3747,8700,93646,900
524,2009-08-25,7,10,17,22,24,12,16,16889500,126,154000,3179,10500,83901,1000
525,2009-09-01,1,14,21,25,27,6,10,26813300,126,152800,2424,13700,77176,1100
526,2009-09-08,4,5,16,21,31,26,13,20788400,95,204300,2534,13200,74347,1100
527,2009-09-15,11,13,15,23,25,4,26,10342000,124,155700,3576,9300,92687,900
528,2009-09-22,2,11,14,15,21,8,16,15068700,105,164900,2418,12400,74570,1000
529,2009-09-29,5,7,14,16,20,15,15,18224000,89,220600,2458,13800,77610,1100
530,2009-10-06,2,3,5,16,19,10,22,12106200,110,173900,2738,12100,81095,1000
531,2009-10-13,13,21,22,26,27,19,17,15168900,119,155600,2772,11500,82062,1000
532,2009-10-20,5,10,21,27,28,18,31,8710200,126,153900,3396,9800,89209,900
533,2009-10-27,6,13,19,23,31,20,32,8463800,160,121600,3129,10700,83937,1000
534,2009-11-03,7,22,25,26,30,4,12,21304700,94,195300,3000,10600,88462,900
535,2009-11-10,18,20,23,24,31,7,28,9765100,108,181800,2649,12800,77122,1100
536,2009-11-17,14,18,20,22,24,19,21,12345300,82,227100,2349,13700,70615,1100
537,2009-11-24,9,10,27,29,30,5,22,11655900,86,214200,2774,11500,77490,1000
538,2009-12-01,8,10,13,20,21,31,23,11869800,157,124900,3491,9700,86082,1000
539,2009-12-08,9,18,23,26,29,5,46,5893000,181,107500,3692,9100,87642,1000
540,2009-12-15,2,19,22,27,29,6,13,21349400,112,178000,2855,12100,86092,1000
541,2009-12-22,1,9,10,16,23,30,21,13310200,169,118800,2841,12200,79303,1100
542,2009-12-29,3,9,11,20,27,21,32,8949200,194,106000,4561,7800,104748,800
543,2010-01-05,4,7,17,22,25,30,27,8457100,155,105800,3536,8000,82742,800
544,2010-01-12,3,9,18,29,30,28,43,6223100,99,194100,3881,8500,90012,900
545,2010-01-19,1,15,23,28,29,2,15,18197900,87,225400,2571,13200,76806,1100
546,2010-01-26,3,8,19,22,29,20,31,9214400,179,114600,3945,9000,98790,900
547,2010-02-02,5,23,25,29,31,28,12,23615400,67,303800,2678,13100,83555,1100
548,2010-02-09,5,6,16,23,29,31,20,14297700,125,164300,3390,10500,91737,1000
549,2010-02-16,10,12,19,24,25,14,30,9563800,118,174600,3610,9800,93299,1000
550,2010-02-23,8,16,22,28,31,3,43,6557800,258,78500,3970,8800,94364,900
551,2010-03-02,1,2,10,24,31,28,14,20110000,63,321000,2396,14600,72660,1200
552,2010-03-09,7,11,14,17,28,29,36,7421700,188,102100,4221,7800,98601,800
553,2010-03-16,2,13,23,24,30,15,21,12939600,131,149000,3247,10400,88766,900
554,2010-03-23,2,6,23,24,28,9,17,15230600,109,170600,3047,10500,82585,1000
555,2010-03-30,1,15,18,24,29,23,22,12255200,118,164100,2745,12200,77334,1100
556,2010-04-06,4,6,16,17,24,26,35,7771700,163,119800,3650,9200,90613,900
557,2010-04-13,8,18,21,22,28,31,22,12222500,124,155700,3089,10800,83958,1000
558,2010-04-20,4,10,16,22,30,27,53,5164100,184,106800,4389,7700,93179,900
559,2010-04-27,2,4,7,11,16,25,24,11299600,153,127300,2964,11300,86385,1000
560,2010-05-04,11,13,17,29,30,5,27,8842100,166,103300,2961,10000,78748,900
561,2010-05-11,1,5,6,16,25,18,23,11625700,88,218200,2739,12100,76038,1100
562,2010-05-18,2,7,12,15,17,23,18,14535900,137,137200,2874,11300,83874,1000
563,2010-05-25,4,5,18,19,30,1,22,11839900,97,192900,2768,11700,80764,1000
564,2010-06-01,9,17,19,22,29,6,21,12478300,133,141500,3226,10100,87524,900
565,2010-06-08,18,19,20,28,29,13,20,12905900,76,243900,2579,12400,72339,1100
566,2010-06-15,3,8,23,28,30,31,26,9868800,108,170600,4075,7800,96798,800
567,2010-06-22,10,12,20,24,25,17,26,10114500,129,146400,3388,9600,81484,1000
568,2010-06-29,8,12,16,24,30,23,97,2716700,288,65700,5302,6100,101461,800
569,2010-07-06,10,17,23,26,28,5,21,12349600,183,101800,3058,10500,85973,900
570,2010-07-13,1,2,5,6,10,8,37,6873700,192,95100,2583,12200,68640,1200
571,2010-07-20,9,22,27,28,29,26,14,17010200,60,285100,2976,9900,82802,900
572,2010-07-27,1,6,18,23,29,21,15,16216000,79,221200,3308,9100,76232,1000
573,2010-08-03,15,21,22,23,29,5,15,16176400,133,131000,2816,10700,80604,900
574,2010-08-10,3,7,8,13,15,25,20,11866600,137,124400,2898,10100,82744,900
575,2010-08-17,10,16,20,21,27,24,28,8627400,110,157700,2860,10500,73756,1000
576,2010-08-24,6,8,10,21,23,18,35,7066800,113,157200,2843,10800,80706,900
577,2010-08-31,5,10,21,24,25,13,28,8927400,117,153400,3841,8100,84695,900
578,2010-09-07,5,11,16,19,30,18,26,9531100,105,169500,3124,9800,83190,900
579,2010-09-14,1,4,15,17,23,8,21,11802900,137,129900,2783,11000,77689,1000
580,2010-09-21,1,4,14,15,26,18,17,14207200,87,199400,2758,10900,72193,1000
581,2010-09-28,2,6,12,14,30,3,20,12406700,107,166600,2730,11300,75898,1000
582,2010-10-05,3,14,22,24,30,10,10,25266100,88,206200,2367,13200,75654,1000
583,2010-10-12,1,3,10,11,16,24,18,13503100,141,123800,2826,10700,79311,900
584,2010-10-19,6,9,11,14,22,29,19,13275400,289,62700,3138,10000,82134,1000
585,2010-10-26,14,19,23,24,31,29,18,14216200,95,193500,2635,12000,76350,1000
586,2010-11-02,1,5,6,10,15,2,40,6470700,266,69900,3635,8800,85278,900
587,2010-11-09,11,17,19,29,30,1,25,10205900,98,187000,3355,9400,83436,900
588,2010-11-16,4,11,18,26,31,13,34,7394700,138,130800,3266,9500,76267,1000
589,2010-11-23,3,10,13,22,26,12,23,10205500,102,165300,2630,11100,74306,1000
590,2010-11-30,4,7,11,17,19,14,37,6801500,193,93600,3834,8100,90390,900
591,2010-12-07,4,8,9,13,19,12,26,9736700,111,163800,3092,10100,76503,1000
592,2010-12-14,5,6,23,25,26,14,21,12083500,137,133000,2574,12200,78774,1000
593,2010-12-21,11,14,22,28,29,25,35,7495000,105,179400,3851,8400,93723,900
594,2010-12-28,2,5,10,22,30,12,28,9365900,196,96100,3801,8500,94450,900
595,2011-01-04,7,11,15,20,23,3,25,7546400,185,73200,3030,7700,71820,800
596,2011-01-11,6,9,10,14,27,31,28,9047700,116,156800,3145,10000,83501,900
597,2011-01-18,2,13,16,17,19,29,10,25344800,86,211700,2319,13600,73663,1100
598,2011-01-25,4,15,21,26,30,1,35,7510200,127,148600,3458,9400,85319,1000
599,2011-02-01,3,7,10,11,29,25,22,11685800,220,83900,4005,7900,98518,800
600,2011-02-08,1,2,3,4,22,13,10,26415600,84,225900,4155,7900,73684,1100
601,2011-02-15,10,14,15,16,24,28,7,37181100,104,179700,2579,12500,81393,1000
602,2011-02-22,3,14,18,22,25,27,35,7665100,195,98800,4012,8300,90625,900
603,2011-03-01,4,5,26,28,30,15,17,15279200,135,138200,2443,13200,81336,1000
604,2011-03-08,2,11,13,22,25,5,32,7957300,180,101600,4096,7700,95575,800
605,2011-03-15,5,6,13,19,28,17,24,8872300,141,108400,2962,8900,72870,900
606,2011-03-22,9,20,23,30,31,1,14,15499100,63,247400,2288,11800,61597,1100
607,2011-03-29,7,8,12,18,30,17,29,8122200,120,141000,3330,8800,85865,800
608,2011-04-05,13,19,21,25,29,15,22,9405900,65,228700,3275,7800,64303,1000
609,2011-04-12,3,14,21,26,30,25,22,9226300,117,124600,2738,9200,66318,900
610,2011-04-19,3,8,14,17,30,19,23,8955400,102,145000,2843,9000,70296,900
611,2011-04-26,12,18,21,25,30,17,33,6351800,106,142000,2515,10300,65820,1000
612,2011-05-03,11,18,24,27,30,4,23,8182500,132,102400,2460,9500,64776,900
613,2011-05-10,2,16,17,20,28,14,16,12434300,71,201300,2183,11300,58233,1100
614,2011-05-17,7,16,23,25,30,11,10,19720200,143,99000,2315,10600,64818,900
615,2011-05-24,4,12,13,19,20,10,12,16278000,69,203300,1899,12800,56872,1100
616,2011-05-31,7,18,21,27,28,10,12,16661300,70,205100,2311,10700,62286,1000
617,2011-06-07,3,9,16,19,28,25,24,8270400,100,142500,2798,8800,66460,900
618,2011-06-14,10,12,14,22,31,23,13,15120100,91,155100,2042,11900,59757,1000
619,2011-06-21,4,7,14,20,30,28,15,13439600,114,127000,2418,10300,64870,1000
620,2011-06-28,2,14,21,25,31,5,18,11079800,84,170500,1941,12700,57558,1100
621,2011-07-05,6,12,18,24,30,9,1129,175900,166,85900,4729,5200,77290,800
622,2011-07-12,13,14,20,25,27,19,13,14594200,58,235000,1863,12600,56085,1100
623,2011-07-19,4,9,14,15,26,29,22,8004000,113,111900,2371,9200,58680,900
624,2011-07-26,5,7,11,12,24,4,33,5731900,116,117100,3160,7400,73619,800
625,2011-08-02,19,20,23,26,31,6,9,20809100,73,184300,1478,15700,46133,1300
626,2011-08-09,11,12,14,17,26,23,5,35684100,88,145600,1829,12100,57544,1000
627,2011-08-16,6,10,14,15,20,19,5,36451700,53,247000,1735,13000,52537,1100
628,2011-08-23,1,2,10,17,20,18,17,11376500,53,262100,1757,13700,48639,1200
629,2011-08-30,1,3,16,26,29,31,15,13044500,79,177900,1955,12400,56602,1100
630,2011-09-06,3,4,16,19,31,14,12,16286800,64,219300,2022,12000,58714,1000
631,2011-09-13,3,15,18,20,25,29,10,19507900,75,186800,2082,11600,60059,1000
632,2011-09-20,6,14,15,25,26,13,23,8097000,100,133700,3011,7700,65445,900
633,2011-09-27,2,12,19,20,30,13,21,9253400,97,143900,2646,9100,65720,900
634,2011-10-04,6,14,24,27,31,22,17,11374200,65,213700,2308,10400,59905,1000
