開催回,開催日,第1数字,第2数字,第3数字,第4数字,第5数字,ボーナス数字,1等口数,1等賞金,2等口数,2等賞金,3等口数,3等賞金,4等口数,4等賞金
200,2003-05-20,1,4,12,13,18,25,35,9035000,148,153500,3192,12300,91665,1100
201,2003-05-27,3,5,23,25,26,17,30,10628000,256,89400,4076,9700,110637,900
202,2003-06-03,6,10,11,18,31,25,45,6972100,214,105300,4087,9500,106227,900
203,2003-06-10,4,10,18,22,25,20,45,6758500,129,169300,3885,9700,102362,900
204,2003-06-17,7,18,22,24,29,9,15,20038200,142,152000,3536,10500,97139,1000
205,2003-06-24,3,4,13,14,23,12,69,4397100,170,128200,3368,11200,97020,1000
206,2003-07-01,6,8,12,27,31,24,27,11578600,154,145800,3367,11500,95234,1000
207,2003-07-08,3,4,10,16,25,7,20,15840500,132,172400,3799,10300,107927,900
208,2003-07-15,6,10,13,16,17,29,19,16562900,148,152700,3088,12600,99609,1000
209,2003-07-22,7,17,23,27,29,12,26,11395000,178,119500,4378,8400,104431,900
210,2003-07-29,9,10,18,19,29,21,40,7643500,147,149400,4349,8700,90869,1000
211,2003-08-05,9,10,13,18,22,15,32,9141300,108,194500,3681,9800,102374,900
212,2003-08-12,1,5,10,14,30,26,18,15639200,116,174300,2548,13700,76100,1200
213,2003-08-19,1,2,3,9,29,27,18,16502700,93,229400,3020,12200,86436,1100
214,2003-08-26,2,8,16,18,28,12,67,4516500,276,78700,6308,5900,125574,700
215,2003-09-02,4,15,20,21,28,16,37,8266700,158,139000,3719,10200,94039,1000
216,2003-09-09,3,7,13,16,17,2,30,10002300,110,195900,4808,7700,112953,800
217,2003-09-16,2,8,17,19,23,21,46,6283200,142,146200,4577,7800,105395,800
218,2003-09-23,9,16,24,25,29,23,48,5752200,153,129600,4298,7900,97891,900
219,2003-09-30,1,15,17,21,28,6,17,17649600,153,140800,2696,13800,83945,1100
220,2003-10-07,9,10,11,21,29,5,41,7260800,146,146400,4354,8500,106227,900
